created_at,created_date,rating,review_id,user_id,reviewable_id,locale,product_id,product_type,url,text,designer_id,designer_title
2024-02-07 16:21:52.191000,2024-02-07,4,97138,1300981,78344,de,7834402,Pattern,https://www.makerist.de/patterns/kurz-hoodie-volant-hoodie-daswaaad-ding-schnitt-anleitung,"Schicker Schnitt jedoch empfehle ich es nur den erfahrenen Hasen. Es ist schade das nichts bzgl der Nahrzugabe hinterlegt ist. Erst nach dem Kauf, erfährt man davon.Wer es kauft, sollte dies bedenken. Daher auch, einen Punkt Abzug.",1667711,Four Chapter 
2024-02-07 15:38:30.270000,2024-02-07,5,97135,142114,105543,de,10554302,Pattern,https://www.makerist.de/patterns/ebook-damen-steppjacke-koko-gr-32-58,Toller Schnitt und wie immer eine leicht verständliche Anleitung! ,415169,Ki-ba-doo
2024-02-07 13:07:51.585000,2024-02-07,4,97132,668130,90187,de,9018702,Pattern,https://www.makerist.de/patterns/ebook-schlaghose-bellbyx,"Tolle Hose, der Sitz hängt stark vom Stoff ab. Leider hat die Hose bei meiner Tochter aus Stretchjeans nicht gepasst, aus Jeggingsstoff super. Von der Länge fällt sie eher groß aus.",52198,Joudii
2024-02-07 20:42:23.647000,2024-02-07,3,97152,1300981,88077,de,8807702,Pattern,https://www.makerist.de/patterns/girls-raglan-dress-hoodiekleid-tunika-ballonaermel,"An sich, toller Schnitt! Aber es gibt hier abzüge! Warum kann man nicht dazu schreiben ob ein SM die Nahtzugabe enthält oder nicht. ",864616,Jessy Sewing
2024-02-07 18:23:38.397000,2024-02-07,5,97141,1694087,104878,de,10487802,Pattern,https://www.makerist.de/patterns/e-book-dizita-diagonalbag-umhaengetasche,"Eine tolle Tasche, auch super für Anfänger. Keine Angst vor den Reißverschluss 🤩",2142422,Nähfußion
2024-02-08 05:14:22.071000,2024-02-08,5,97153,66100,111481,de,11148102,Pattern,https://www.makerist.de/patterns/kleid-bluse-musselinchen-gr-74-146-a4-a0-beamerdatei,"Ein Schnittmuster sehen, kaufen und nähen. Es war wie Balsam für meine Seele dieses Schnittmuster zu nähen. Alle zugeschnitten Teile passten am Ende zusammen. Es ist ja eine Art Baukasten und somit habe ich für lange Zeit ein tolles Schnittmuster....",528232,rosarosa
2024-02-08 19:12:14.487000,2024-02-08,5,97157,1172294,95985,de,9598502,Pattern,https://www.makerist.de/patterns/rose-xs-xl,"Klasse Schnittmuster. Es sieht wirklich aus wie ein Rock und dabei kann man sich ganz frei bewegen. Selbst Fahrrad fahren geht super damit. Und die Größenangaben passen auch super, ich musste nichts verändern am Schnitt. ",420679,Frau Ninchen
2024-02-08 19:09:06.343000,2024-02-08,5,97156,1634282,46753,de,4675302,Pattern,https://www.makerist.de/patterns/jogginhose-julian-gr-86-152-schnittmuster,"SCHNELL GENÄHT UND SUPER BEQUEM

Ich habe die Hose nun schon diverse Male genäht - meistens für meine Enkelkinder, aber auch schon für die Kinder von Freunden. Die Anleitung ist prima und die Hose schnell genäht. Mein letztes Projekt ist aus Sweatst",274668,Engelinchen Design
2024-02-09 08:18:30.165000,2024-02-09,4,97161,1953613,88159,de,8815902,Pattern,https://www.makerist.de/patterns/mini-freizeithose-finn-fine-gr-74-122-inkl-beamerdatei,"Schöne lässige Hose und einfach zu nähen.
Leider sind die vorgegeben Bündchen am Bein viel zu weit, sodass die Hose über die Füße rutscht. Das sollte man besser direkt am Kind ausmessen.
Einen kleinen Anzug gebe ich, weil es keinen Ebenendruck gib",56115,Mamili 1910 
2024-02-09 16:47:21.298000,2024-02-09,3,97165,2268291,110087,de,11008702,Pattern,https://www.makerist.de/patterns/gehaekelter-maritimer-tuerkranz-mit-muscheln-und-leuchtturm,"Ein wirklich schöner Kranz, aber Ausführlich kann ich nicht befür Worten, daher ""Problemlos"" für ungeübte eher nicht geeignet. Ich bin zwar nicht ungeübt, aber auch kein Profi und finde vor allem die Buchstaben sehr kompliziert, da wäre das ein oder",135317,Craftery
2024-02-09 19:02:49.453000,2024-02-09,5,97168,1661281,50877,de,5087702,Pattern,https://www.makerist.de/patterns/raketenkostuem-schnittmuster-und-gratis-anleitung,Sehr cooles Schnittmuster. ,2227,Makerist Anleitungen
2024-02-09 19:56:13.529000,2024-02-09,3,97169,1313769,74129,de,7412902,Pattern,https://www.makerist.de/patterns/einteiler-jumper-onepiece-onesie-einhorn-dino-gr-56-146,Sehr unübersichtliche und recht kurze Anleitung. Wenn man nicht den Onecie näht sondern eins der Kostüme muss man super aufpassen und suchen wo man anfangen und weiter machen muss. Ich nähe das erste mal ein Kostüm und muss sagen ich bin sehr enttäus,1503073,Tesseract Patterns DE
2024-02-10 14:40:11.527000,2024-02-10,4,97173,2217441,44830,de,4483002,Pattern,https://www.makerist.de/patterns/ebook-minilu-die-kulturtasche-zum-aufhaengen,"Die Anleitung ist super, alles wunderbar beschrieben. Ich finde es auch schön dass die Fächer Optionen beschriebenen sind. Ich habe eine Außentasche mit Reißverschluss gemacht. Als Anfänger hab ich mit dem RV sehr gekämpft. Ich hab immer ausprobiert,",357283,elbmarie 
